id,title,genres,vote_average,Plot
455476,Knights of the Zodiac,Fantasy-Action-Adventure,6.561,when a headstrong street orphan seiya in search of hi abduct sister unwittingli tap into hidden power he discov he might be the onli person aliv who can protect a reincarn goddess sent to watch over human . can he let hi past go and embrac hi destini to becom a knight of the zodiac ? superhero-bas on manga-l action anim fantasy-action-adventur knight of the zodiac
786892,Furiosa: A Mad Max Saga,Action-Adventure-Science Fiction,7.652,as the world fell young furiosa is snatch from the green place of mani mother and fall into the hand of a great biker hord led by the warlord dementu . sweep through the wasteland they come across the citadel presid over by the immortan joe . while the two tyrant war for domin furiosa must surviv mani trial as she put togeth the mean to find her way home . post-apocalypt future-prequel-spin off-tyranny-masculinity-moth daughter relationship-child abduction-amused-enthusiast action-adventure-sci fiction furiosa : a mad max saga
753342,Napoleon,History-War-Drama,6.516,an epic that detail the checker rise and fall of french emperor napoleon bonapart and hi relentless journey to power through the prism of hi addict volatil relationship with hi wife josephin . empire-france-biography-napoleon bonaparte-bas on true story-napoleon wars-19th century-biop history-war-drama napoleon
573435,Bad Boys: Ride or Die,Action-Crime-Thriller-Comedy,6.995,after their late former captain is frame lowrey and burnett tri to clear hi name onli to end up on the run themselv . miami florida-sequel-on the run-polic detective-buddi cop-buddi comedi action-crime-thriller-comedi bad boy : ride or die
968051,The Nun II,Horror-Mystery-Thriller,7.004,in 1956 franc a priest is violent murder and sister iren begin to investig . she onc again come face-to-fac with a power evil . france-bullying-sequel-religion-demon-goth horror-demon possession-praying-duringcreditsstinger-al girl school-1950s-demonic-convent-th conjur univers horror-mystery-thril the nun ii
280180,Beverly Hills Cop: Axel F,Action-Comedy-Crime,6.947,forti year after hi unforgett first case in beverli hill detroit cop axel foley return to do what he doe best : solv crime and caus chao . daughter-detective-beverli hills-black cop-buddi cop-adoring-ch action-comedy-crim beverli hill cop : axel f
670292,The Creator,Science Fiction-Action-Thriller,7.186,amid a futur war between the human race and the forc of artifici intellig a harden ex-speci forc agent griev the disappear of hi wife is recruit to hunt down and kill the creator the elus architect of advanc ai who ha develop a mysteri weapon with the power to end the war—and mankind itself . artifici intellig ( a.i . ) -asia-dist future-spac station-child-ex special forces-miss wife-robots-war against machin scienc fiction-action-thril the creator
945961,Alien: Romulus,Horror-Science Fiction,7.213,while scaveng the deep end of a derelict space station a group of young space colon come face to face with the most terrifi life form in the univers . alien life-form-alien-space-alien contact-alien monster-alien encounter-spac capsule-alien hostility-amus horror-sci fiction alien : romulu
763215,Damsel,Fantasy-Action-Adventure,7.173,a young woman 's marriag to a charm princ turn into a fierc fight for surviv when she 's offer up as a sacrific to a fire-breath dragon . princess-fire-chase-kingdom-sword-mountain-revenge-knight-dragon-hero 's journey-derisive-hopeful-fairytal fantasy-action-adventur damsel
933260,The Substance,Drama-Horror-Science Fiction,7.297,a fade celebr decid to use a black market drug a cell-repl substanc that temporarili creat a younger better version of herself . new year 's eve-capitalism-black market-identity-beauty-satire-aging-celebrity-femal protagonist-lo angel california-ha been-aerobics-disfigurement-woman director-beauti standards-insecur woman-tox masculinity-drug-bodi horror-youth-provocative-actress drama-horror-sci fiction the substanc
